TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
INTB3;19,70;;19,68;6,61;2,64;32,84;18,10;15,37;16,70;16,05;-0,65;-0,26;3,02;6,71;-16,18;1,89;33,59;13,43;25,39;0,40;0,60;0,87;;;49.975.110,69;2,98;1,00;0,27;6.453.938.867,00
IRBR3;6,12;2,16;-5,10;1,82;0,34;-18,47;-21,42;-17,94;-4,27;-4,27;;;0,92;-5,53;-1,06;0,92;-35,74;-6,70;;0,19;0,81;0,37;17,75;;208.473.375,82;3,36;-1,20;0,02;7.759.488.831,84
ITSA4;10,33;2,49;12,31;1,43;1,20;31,50;131,36;120,00;11,25;11,74;0,17;0,02;14,78;20,23;-1,35;2,15;11,64;9,72;11,36;0,84;0,16;0,08;3,78;-3,97;362.808.425,13;7,21;0,84;-0,39;89.368.978.709,10
ITUB3;25,20;2,16;13,07;1,60;0,12;57,67;3,01;10,87;47,24;49,90;;;1,42;;-0,13;;12,23;0,94;;0,08;0,92;0,09;6,04;-10,45;18.190.599,00;15,76;1,93;-0,43;260.971.785.888,03
ITUB4;28,07;1,94;14,56;1,78;0,14;57,67;3,01;10,87;52,62;49,90;;;1,58;;-0,14;;12,23;0,94;;0,08;0,92;0,09;6,04;-10,45;1.223.442.347,24;15,76;1,93;-0,48;260.971.785.888,03
JALL3;8,05;;23,61;4,27;0,84;50,14;40,67;10,39;6,03;9,28;3,25;2,30;2,45;3,84;-1,59;1,88;18,08;3,57;14,56;0,20;0,80;0,34;;;14.082.500,67;1,89;0,34;;2.372.311.582,55
JBSS3;28,71;1,88;15,68;1,66;0,44;16,73;7,59;1,70;3,52;5,77;2,25;1,06;0,27;3,66;-0,70;1,48;10,56;2,81;15,44;0,27;0,73;1,65;10,65;-1,92;394.442.324,76;17,34;1,83;-0,65;72.094.707.956,70
JHSF3;6,74;2,16;7,21;1,21;0,64;69,23;69,73;54,99;5,69;6,33;0,64;0,14;3,97;5,94;-0,86;1,72;16,82;8,84;13,05;0,53;0,47;0,16;13,16;42,24;55.540.509,24;5,55;0,93;0,07;4.644.024.139,22
KEPL3;43,05;1,27;16,74;2,19;1,19;24,21;11,98;10,08;14,08;10,80;-3,29;-0,51;1,69;7,38;-2,84;1,39;13,07;7,13;11,01;0,55;0,45;0,71;-1,00;61,09;13.481.784,34;19,67;2,57;0,21;1.132.730.351,55
LAME3;20,48;1,05;97,99;2,43;0,81;33,48;6,74;1,85;26,89;28,03;0,26;0,02;1,81;1,98;-2,39;2,61;2,48;0,83;3,77;0,33;0,67;0,45;3,50;37,33;51.818.669,37;8,42;0,21;-2,23;39.873.076.330,88
LAME4;21,51;1,00;102,92;2,56;0,85;33,48;6,74;1,85;28,24;28,03;0,26;0,02;1,90;2,08;-2,51;2,61;2,48;0,83;3,77;0,33;0,67;0,45;3,50;37,33;334.882.484,76;8,42;0,21;-2,34;39.873.076.330,88
LAVV3;7,70;;17,67;1,27;0,98;41,67;33,06;26,01;13,91;6,65;-7,26;-0,66;4,60;1,50;-5,59;4,77;7,19;5,52;8,20;0,77;0,23;0,21;;;10.116.494,84;6,06;0,44;0,16;1.652.640.620,40
LIGT3;19,23;;10,35;1,01;0,27;24,44;13,62;5,29;4,02;7,72;3,70;0,93;0,55;9,47;-0,39;1,10;9,78;2,62;8,51;0,27;0,73;0,50;3,68;78,83;59.654.256,18;18,99;1,86;-0,22;7.164.238.880,52
LINX3;37,78;0,30;-1.502,70;4,25;2,65;66,79;3,94;-0,55;209,94;202,84;-7,11;-0,14;8,28;10,42;-4,89;2,26;-0,28;-0,18;0,81;0,62;0,38;0,32;16,40;-10,47;47.371.614,00;8,89;-0,03;13,64;7.155.870.508,80
LJQQ3;15,45;0,44;42,64;6,04;1,30;41,32;9,47;4,19;18,84;17,99;-0,85;-0,27;1,78;4,63;-4,70;1,64;14,16;3,06;14,38;0,22;0,78;0,73;;;37.940.678,11;2,56;0,36;0,34;2.893.634.656,05
LOGG3;30,89;1,74;22,55;1,02;0,75;98,80;177,16;98,89;12,59;13,97;1,38;0,11;22,30;6,97;-0,92;2,37;4,54;3,32;4,06;0,73;0,27;0,03;8,78;52,67;13.827.993,13;30,15;1,37;0,41;3.155.696.267,06
LOGN3;15,02;;122,34;4,48;0,72;20,68;17,12;1,15;8,22;11,75;3,53;1,92;1,41;2,47;-1,38;2,54;3,66;0,59;9,07;0,16;0,84;0,51;4,71;;12.193.887,66;3,36;0,12;7,47;1.584.447.648,82
LREN3;41,98;0,77;30,49;6,08;2,28;57,23;11,37;14,54;39,01;39,84;0,83;0,13;4,43;10,24;-5,82;1,58;19,93;7,49;8,47;0,38;0,62;0,51;4,17;13,62;380.311.728,55;6,91;1,38;-118,66;33.423.225.415,80
LWSA3;23,00;0,14;682,15;19,98;9,27;42,06;9,05;4,04;304,75;298,60;-6,14;-0,40;27,58;37,73;-20,88;1,79;2,93;1,36;4,13;0,46;0,54;0,34;;;271.774.104,79;1,15;0,03;73,86;13.465.620.756,00
MBLY3;23,59;;-158,22;503,02;9,62;41,03;-0,22;-2,90;-2.079,55;-2.100,48;-20,93;5,06;4,58;-60,83;-29,67;0,81;-317,92;-6,08;-2,09;0,02;0,98;2,10;;;23.674.479,18;0,05;-0,15;;2.512.096.835,36
MDIA3;30,56;1,50;12,64;1,59;1,07;34,96;11,29;11,31;12,66;13,06;0,40;0,05;1,43;5,83;-1,82;1,80;12,60;8,47;9,31;0,67;0,33;0,75;5,91;-1,46;33.026.235,71;19,18;2,42;0,14;10.359.840.000,00
MEAL3;3,53;;-2,20;0,81;0,38;25,41;-42,12;-37,35;-1,95;-2,03;-0,07;0,03;0,82;3,23;-0,52;1,76;-36,63;-17,11;-34,91;0,47;0,53;0,46;29,56;;24.626.172,13;4,38;-1,60;0,00;1.010.884.440,90
MGLU3;19,98;0,25;331,49;17,73;5,27;25,77;2,83;1,34;157,47;156,00;-1,48;-0,17;4,45;38,39;-16,54;1,25;5,35;1,59;8,90;0,30;0,70;1,18;26,58;;945.238.971,61;1,13;0,06;-5,76;129.848.558.423,04
MILS3;6,66;;-353,49;1,53;1,14;39,39;2,67;-0,94;123,99;115,50;-8,49;-0,10;3,31;4,12;-1,82;3,84;-0,43;-0,32;0,45;0,74;0,26;0,34;-2,55;;9.142.059,03;4,36;-0,02;3,95;1.678.028.491,80
MOSI3;21,20;;44,43;24,42;12,00;92,13;27,01;26,11;42,96;43,10;0,13;0,08;11,60;56,31;-26,71;1,63;54,96;27,00;38,28;0,49;0,51;1,03;;;107.003.052,91;0,87;0,48;;2.683.830.536,00
MRFG3;16,83;;3,63;3,41;0,30;17,37;11,64;4,89;1,52;3,53;2,00;4,48;0,18;2,63;-0,57;1,33;93,96;8,36;23,40;0,09;0,91;1,71;28,12;;173.469.978,32;4,94;4,64;0,00;11.972.355.635,79
MTRE3;12,47;;27,30;1,31;1,00;33,98;9,26;11,75;34,65;15,71;-18,94;-0,72;3,21;1,52;-5,54;5,09;4,80;3,66;2,87;0,76;0,24;0,31;;;10.320.900,58;9,52;0,46;0,53;1.319.012.005,40
MULT3;23,67;1,92;14,75;2,28;1,35;74,59;106,00;89,15;12,40;14,06;1,66;0,30;13,15;16,93;-1,63;1,84;15,47;9,13;11,12;0,59;0,41;0,10;0,31;21,64;199.093.552,16;10,38;1,60;0,14;14.220.009.911,25
MYPK3;11,84;;-3,70;0,48;0,15;6,45;-2,11;-5,61;-9,85;-28,88;-19,03;0,92;0,21;2,25;-0,25;1,19;-12,93;-3,96;-2,09;0,31;0,69;0,71;5,05;;25.049.731,13;24,74;-3,20;0,02;1.820.040.075,84
NGRD3;7,87;;157,19;13,69;5,60;66,82;16,13;5,79;56,41;58,86;2,45;0,59;9,10;163,77;-7,73;1,14;8,71;3,56;10,07;0,41;0,59;0,62;;;58.990.122,97;0,57;0,05;;1.878.272.537,10
ODPV3;13,36;3,78;19,66;5,88;3,69;59,60;29,17;20,46;13,79;12,36;-1,43;-0,61;4,02;15,97;-7,62;1,81;29,93;18,80;29,39;0,63;0,37;0,92;7,15;10,22;25.249.459,08;2,27;0,68;0,73;7.098.098.421,12
OIBR3;1,80;;-0,73;1,79;0,15;21,68;-4,43;-77,15;-12,79;-38,28;-25,38;3,56;0,57;1,77;-0,20;1,50;-243,90;-20,08;-3,51;0,08;0,92;0,26;-6,55;;253.226.836,08;1,00;-2,45;-0,02;10.805.896.256,76
OIBR4;2,36;;-0,96;2,35;0,19;21,68;-4,43;-77,15;-16,77;-38,28;-25,38;3,56;0,74;2,33;-0,26;1,50;-243,90;-20,08;-3,51;0,08;0,92;0,26;-6,55;;11.126.664,37;1,00;-2,45;-0,02;10.805.896.256,76
PARD3;20,52;1,76;21,24;3,66;1,36;27,11;13,40;8,47;13,42;14,18;0,76;0,21;1,80;8,90;-2,36;1,57;17,23;6,43;14,10;0,37;0,63;0,76;14,12;8,50;10.768.468,16;5,61;0,97;-1,06;2.687.680.769,40
PCAR3;31,41;1,85;3,87;0,50;0,16;26,83;5,13;4,25;3,21;3,37;0,17;0,03;0,16;-10,01;-0,24;0,95;12,96;4,09;7,58;0,32;0,68;0,96;6,62;;293.836.812,13;62,63;8,12;0,02;8.428.922.719,47
PETZ3;19,29;0,17;130,17;14,76;4,02;48,27;8,64;4,06;61,24;61,31;0,07;0,02;5,29;32,76;-7,55;1,35;11,34;3,08;11,13;0,27;0,73;0,76;;;80.636.218,03;1,31;0,15;0,88;7.600.090.209,42
PNVL3;18,82;0,72;50,77;2,82;1,30;29,22;3,27;1,99;30,93;33,12;2,36;0,21;1,01;4,08;-3,49;2,03;5,56;2,56;5,37;0,46;0,54;1,28;7,26;4,40;16.369.098,37;6,67;0,37;-1,89;2.835.082.682,50
POSI3;5,55;0,58;4,12;0,76;0,28;20,47;12,67;8,71;2,83;3,62;0,79;0,21;0,36;0,94;-1,28;1,61;18,48;6,76;11,20;0,37;0,63;0,78;3,53;;15.615.055,79;7,29;1,35;0,00;786.990.000,00
POWE3;14,75;;43,06;5,96;1,49;10,03;6,46;2,50;16,66;16,89;0,23;0,08;1,08;17,88;-3,63;1,16;13,83;3,45;19,09;0,25;0,75;1,38;;;16.301.958,70;2,48;0,34;-0,75;1.322.409.126,00
PRIO3;92,51;;35,89;5,16;2,39;32,42;49,51;23,78;17,24;19,05;1,81;0,54;8,53;-52,76;-3,28;0,86;14,37;6,67;16,03;0,46;0,54;0,28;49,72;32,61;645.964.641,47;17,94;2,58;-1,25;16.250.877.294,19
PSSA3;47,04;4,55;9,01;1,70;0,41;100,00;9,04;9,07;9,03;2,81;-6,22;-1,17;0,82;3,51;-1,31;1,21;18,83;4,60;8,56;0,24;0,76;0,51;3,79;11,08;54.189.861,66;27,74;5,22;0,40;15.207.704.131,20
PTBL3;8,61;1,76;10,38;3,19;0,65;34,57;8,68;9,63;11,51;14,98;3,47;0,96;1,00;7,56;-1,19;1,24;30,73;6,30;6,37;0,21;0,79;0,65;4,66;19,48;34.764.036,42;2,70;0,83;0,01;1.330.497.798,21
QUAL3;31,11;0,94;22,46;4,98;2,28;81,03;29,11;19,36;14,94;15,54;0,60;0,20;4,35;9,90;-3,79;2,36;22,17;10,14;14,80;0,46;0,54;0,52;6,05;22,49;106.419.095,71;6,25;1,39;-3,31;8.835.685.650,75
RADL3;24,85;0,51;84,74;9,28;2,97;29,36;4,56;2,41;44,82;45,66;0,84;0,17;2,05;18,50;-6,03;1,46;10,95;3,50;13,08;0,32;0,68;1,45;17,66;7,84;163.529.260,18;2,68;0,29;-2,27;41.050.460.500,00
RANI3;5,60;1,96;15,50;1,83;0,79;31,60;16,08;9,01;8,69;10,15;1,46;0,31;1,40;2,91;-1,38;2,78;11,80;5,11;10,79;0,43;0,57;0,57;6,30;184,81;15.945.085,71;3,06;0,36;-0,07;1.437.633.316,00
RAPT4;14,39;1,68;7,49;1,87;0,55;25,18;18,92;12,39;4,90;5,64;1,13;0,43;0,93;2,20;-1,35;1,75;24,95;7,40;9,99;0,30;0,70;0,60;11,59;;41.458.260,16;7,70;1,92;0,04;4.580.726.254,98
RCSL3;8,02;;-445,17;-9,37;13,80;19,77;2,32;-4,79;918,59;412,76;-1,68;;21,33;-107,82;-24,33;0,77;-2,11;-3,10;-1,02;-1,47;2,47;0,65;117,05;;12.795.159,58;-0,86;-0,02;7,36;274.359.972,60
RENT3;57,43;0,45;41,56;7,20;2,13;28,12;17,48;10,17;24,18;27,80;3,62;1,08;4,23;34,21;-2,93;1,30;17,32;5,13;8,60;0,30;0,70;0,50;21,28;21,10;364.596.204,53;7,98;1,38;1,62;43.558.740.858,10
ROMI3;25,25;8,12;10,61;2,27;1,06;30,71;10,98;17,93;17,33;19,33;2,00;0,26;1,90;3,84;-2,73;1,82;21,42;9,99;7,50;0,47;0,53;0,56;9,91;88,47;52.159.584,03;11,11;2,38;0,31;1.851.681.530,50
RRRP3;39,40;;-16,64;4,01;2,05;47,99;-84,38;-126,92;-25,03;-24,61;0,42;-0,07;21,12;6,56;-3,23;6,74;-24,07;-12,29;-11,55;0,51;0,49;0,10;;;23.689.403,71;9,84;-2,37;-0,02;4.314.471.074,80
SANB11;40,94;2,51;10,94;1,81;0,16;16,13;7,82;14,15;19,80;19,80;;;1,55;-0,32;-0,19;0,26;16,53;1,42;;0,09;0,91;0,10;-2,12;6,46;138.784.124,89;22,64;3,74;-0,76;153.494.930.613,97
SAPR11;22,10;4,49;6,70;0,96;0,51;59,97;32,72;20,76;4,25;6,02;1,77;0,40;1,39;21,73;-0,58;1,21;14,35;7,55;11,34;0,53;0,47;0,36;10,07;17,84;55.352.922,63;22,97;3,30;-0,87;6.679.528.393,98
SAPR4;4,37;4,63;6,63;0,95;0,50;59,97;32,72;20,76;4,20;6,02;1,77;0,40;1,38;21,48;-0,58;1,21;14,35;7,55;11,34;0,53;0,47;0,36;10,07;17,84;26.542.604,61;4,59;0,66;-0,86;6.679.528.393,98
SBSP3;40,87;3,37;28,70;1,23;0,55;37,18;25,24;5,47;6,22;9,21;2,99;0,59;1,57;51,66;-0,64;1,09;4,27;1,93;10,34;0,45;0,55;0,35;8,73;12,66;212.059.020,71;33,35;1,42;-0,40;27.935.048.346,03
SEER3;11,50;2,83;8,97;1,04;0,48;53,56;25,05;13,20;4,73;4,44;-0,29;-0,06;1,18;2,34;-0,74;2,41;11,57;5,34;13,32;0,46;0,54;0,40;4,15;0,49;11.124.956,92;11,08;1,28;0,43;1.480.297.940,00
SLCE3;42,47;2,32;16,56;2,57;0,94;27,63;20,16;12,62;10,37;11,41;1,04;0,26;2,09;4,34;-1,84;1,80;15,51;5,69;10,82;0,37;0,63;0,45;17,07;33,35;55.231.503,97;16,53;2,56;0,29;8.094.569.650,00
SMLS3;24,80;5,12;15,71;2,28;0,92;82,71;36,70;34,20;14,64;11,15;-3,50;-0,54;5,37;3,24;-3,39;1,63;14,51;5,83;8,72;0,40;0,60;0,17;;;40.168.192,18;10,88;1,58;-0,23;3.079.142.034,40
SMTO3;28,91;1,87;11,87;3,06;0,84;34,82;35,23;20,07;6,76;9,77;3,02;1,36;2,38;5,85;-1,19;2,01;25,77;7,12;12,82;0,28;0,72;0,35;14,03;17,25;51.238.701,29;9,45;2,44;0,25;10.234.467.521,39
SOMA3;14,00;;-95,82;4,28;2,90;60,87;-6,82;-5,61;-78,81;-75,46;3,35;-0,18;5,37;6,56;-8,53;3,03;-4,47;-3,03;-10,25;0,68;0,32;0,54;;;17.185.753,34;3,27;-0,15;0,62;6.679.981.336,00
SQIA3;22,75;;323,85;3,69;2,52;34,08;3,31;2,36;230,73;195,86;-34,88;-0,56;7,64;5,88;-5,47;4,85;1,14;0,78;0,99;0,68;0,32;0,33;22,77;-12,74;17.591.341,66;6,17;0,07;-1,56;1.604.985.473,00
STBP3;6,76;0,26;-423,69;2,78;1,38;23,77;6,40;-1,48;97,94;87,23;-10,70;-0,30;6,27;6,18;-1,95;4,18;-0,66;-0,33;2,20;0,50;0,50;0,22;-0,73;;40.184.097,58;2,43;-0,02;2,24;5.830.353.835,28
SULA11;36,35;4,94;6,22;1,80;0,52;13,59;5,09;12,22;14,92;-0,62;-15,54;-1,88;0,76;1,38;-1,64;2,26;28,97;8,42;6,95;0,29;0,71;0,69;4,99;26,05;141.429.415,58;20,18;5,85;0,06;14.596.955.579,10
TAEE11;36,10;8,89;5,50;2,06;0,88;70,57;89,71;63,54;3,89;5,57;1,68;0,89;3,49;8,19;-1,06;2,80;37,55;16,04;22,30;0,43;0,57;0,25;18,22;20,00;89.561.755,95;17,49;6,57;0,04;12.436.410.542,70
TASA4;22,72;;8,29;51,67;1,50;42,60;24,49;14,87;5,03;6,62;1,55;15,97;1,23;6,14;-4,12;1,62;623,63;18,05;45,22;0,03;0,97;1,21;16,57;;81.667.443,82;0,44;2,74;0,02;2.201.711.073,08
TCSA3;7,36;;-3,29;0,68;0,31;-8,95;-78,92;-91,26;-3,80;-5,73;-1,93;0,35;3,00;1,34;-0,52;2,35;-20,83;-9,45;-11,32;0,45;0,55;0,10;-32,32;;11.656.012,00;10,75;-2,24;0,09;541.837.532,80
TEND3;26,25;1,88;13,67;1,80;0,65;31,12;11,60;8,78;10,35;9,79;-0,56;-0,10;1,20;1,78;-1,85;2,27;13,20;4,73;8,33;0,36;0,64;0,54;21,81;46,40;39.036.149,26;14,55;1,92;-0,57;2.739.036.457,50
TGMA3;18,11;1,88;16,23;1,91;1,16;19,78;10,49;7,28;11,25;11,20;-0,06;-0,01;1,18;3,83;-2,35;2,52;11,77;7,17;9,39;0,61;0,39;0,99;-2,05;49,24;11.762.552,16;9,48;1,12;-0,26;1.195.312.790,65
TIET11;17,44;6,15;8,21;3,78;0,69;94,37;86,92;42,17;3,98;5,83;1,85;1,75;3,46;-43,14;-0,91;0,94;46,03;8,45;19,40;0,18;0,82;0,20;-5,19;1,09;25.546.318,03;4,62;2,12;0,04;6.960.417.764,61
TIMS3;12,84;3,48;16,86;1,34;0,75;53,69;16,30;10,68;11,04;12,98;1,94;0,24;1,80;14,73;-0,99;1,25;7,95;4,43;7,97;0,56;0,44;0,41;0,15;-2,43;74.518.957,66;9,58;0,76;-0,34;31.083.128.470,32
TOTS3;28,18;0,76;55,21;6,25;3,16;70,08;15,16;11,36;41,38;39,14;-2,24;-0,34;6,27;20,56;-7,04;1,39;11,33;5,73;10,50;0,51;0,49;0,50;6,34;8,63;176.560.957,39;4,51;0,51;1,36;16.285.593.440,58
TRIS3;9,70;2,21;10,64;1,49;0,83;35,26;22,65;19,35;9,09;9,41;0,31;0,05;2,06;1,48;-3,65;3,68;14,02;7,81;10,33;0,56;0,44;0,40;18,29;49,27;16.667.796,71;6,50;0,91;0,50;1.810.190.118,60
TRPL4;25,59;9,95;5,02;1,19;0,69;69,27;119,77;90,94;3,81;4,53;0,46;0,14;4,56;4,08;-0,88;4,01;23,80;13,67;19,25;0,57;0,43;0,15;23,49;45,59;49.528.287,50;21,44;5,10;0,06;18.024.122.920,68
TUPY3;20,37;;-38,54;1,15;0,48;16,09;5,09;-1,79;13,55;17,24;3,69;0,31;0,69;1,62;-1,06;2,20;-2,98;-1,25;3,53;0,42;0,58;0,70;4,44;;24.480.093,61;17,71;-0,53;0,30;2.936.895.675,00
UNIP6;66,26;1,84;17,02;3,60;1,39;34,50;19,35;9,50;8,36;7,68;-0,53;-0,23;1,62;9,47;-2,38;1,54;21,14;8,16;21,10;0,39;0,61;0,86;35,12;33,34;23.702.182,97;18,42;3,89;0,15;6.149.516.116,52
USIM3;16,95;0,23;31,57;1,26;0,71;20,24;18,20;4,18;7,25;7,56;0,38;0,07;1,32;2,89;-1,17;2,64;4,00;2,25;10,41;0,56;0,44;0,54;9,57;;14.908.855,45;13,44;0,54;0,15;21.036.998.063,72
USIM5;16,58;0,26;30,88;1,23;0,69;20,24;18,20;4,18;7,09;7,56;0,38;0,07;1,29;2,83;-1,15;2,64;4,00;2,25;10,41;0,56;0,44;0,54;9,57;;370.363.486,63;13,44;0,54;0,14;21.036.998.063,72
VALE3;95,46;6,99;18,88;2,79;1,06;52,73;24,97;12,81;9,69;9,84;0,15;0,04;2,42;9,90;-1,44;1,67;14,76;5,59;18,93;0,38;0,62;0,44;21,72;;2.925.509.724,11;34,25;5,05;-0,04;504.455.962.689,72
VIVA3;23,70;0,45;38,17;4,78;2,62;68,49;19,58;14,00;27,30;26,58;-0,72;-0,13;5,34;6,72;-7,79;2,41;12,52;6,85;12,05;0,55;0,45;0,49;;;29.897.445,68;4,96;0,62;-0,58;5.597.887.125,30
VIVT3;45,34;7,40;16,07;1,10;0,71;47,38;15,26;11,06;11,65;12,79;1,14;0,11;1,78;64,66;-0,85;1,07;6,86;4,39;6,45;0,64;0,36;0,40;1,37;6,88;150.889.652,84;41,13;2,82;-3,49;76.669.256.408,82
VIVT4;45,34;5,25;16,07;1,10;0,71;47,38;15,26;11,06;11,65;12,79;1,14;0,11;1,78;64,66;-0,85;1,07;6,86;4,39;6,45;0,64;0,36;0,40;1,37;6,88;111.231.163,93;41,13;2,82;-3,49;76.669.256.408,82
VVAR3;11,97;;19,04;3,20;0,58;32,75;5,60;3,47;11,81;15,59;3,78;1,02;0,66;25,46;-1,38;1,04;16,79;3,04;10,20;0,18;0,82;0,87;8,45;135,03;631.240.194,92;3,74;0,63;-0,11;19.120.328.588,97
WEGE3;72,74;0,85;65,21;12,80;7,66;31,13;16,12;13,40;54,20;53,21;-0,99;-0,23;8,74;22,87;-20,71;2,13;19,62;11,75;18,11;0,60;0,40;0,88;12,35;15,50;516.890.621,11;5,68;1,12;1,45;152.656.455.587,26
WEST3;9,07;;49,84;111,34;9,22;48,61;11,33;26,62;117,15;112,57;-4,58;-4,35;13,27;-115,47;-35,63;0,90;223,42;18,50;-22,52;0,08;0,92;0,69;;;28.617.314,77;0,08;0,18;;992.954.585,07
WIZS3;6,70;;5,50;3,60;1,12;76,38;40,46;24,25;3,30;2,51;-0,79;-0,86;1,33;-22,80;-1,78;0,88;65,42;20,34;72,59;0,31;0,69;0,84;17,16;14,87;16.802.973,34;1,86;1,22;-0,61;1.071.378.789,40
